review_text,sentiment_label,sentiment_score
Outstanding food and excellent ambiance. The margherita pizza was superb.,positive,0.8
"The carbonara was alright, but they were out of several menu items.",neutral,0.0
Not worth the price. Small portions and mediocre pasta quality.,negative,-0.8
Fantastic service and delightful food. The caesar salad exceeded expectations.,positive,0.8
"Decent options for butter chicken, but the wait time was a bit long.",negative,-0.8
Not worth the price. Small portions and mediocre pepperoni pizza quality.,negative,-0.8
Best panna cotta I've had in a long time! Service was top-notch.,positive,0.8
Good butter chicken but the seating was a bit cramped.,positive,0.8
Terrible customer service. Had to wait an hour for cold pasta.,negative,-0.8
The pepperoni pizza was absolutely delicious and the host was incredibly friendly.,positive,0.8
"Nice atmosphere and okay tiramisu, but slightly overpriced.",positive,0.8
Avoid this place. The truffle burger made me feel sick and the service was poor.,negative,-0.8
Outstanding food and excellent ambiance. The garlic naan was superb.,positive,0.8
"The cacio e pepe was alright, but they were out of several menu items.",neutral,0.0
The noise level was way too high and the pasta was mediocre.,negative,-0.8
The truffle burger was absolutely delicious and the service was incredibly friendly.,positive,0.8
"The bruschetta was decent, but the service was a bit slow.",negative,-0.8
The service was poor and the gelato came out completely overcooked.,negative,-0.8
High quality panna cotta and very friendly kitchen staff. Highly recommend this place!,positive,0.8
"The pepperoni pizza was satisfactory, standard restaurant experience.",neutral,0.0
Not worth the price. Small portions and mediocre panna cotta quality.,negative,-0.8
Outstanding food and excellent ambiance. The butter chicken was superb.,positive,0.8
"Nice atmosphere and okay butter chicken, but slightly overpriced.",positive,0.8
Highly disappointed with the pepperoni pizza. It was way too salty.,negative,-0.8
Outstanding dinner tonight. The butter naan was cooked to perfection and our waiter was very attentive.,neutral,0.27
Good pasta but the seating was a bit cramped.,positive,0.8
Not worth the price. Small portions and mediocre paneer tikka quality.,negative,-0.8
Fantastic service and delightful food. The butter chicken exceeded expectations.,positive,0.8
Food was fine. Service was average. Nothing to write home about.,neutral,0.0
Very disappointed. The grilled shrimp salad was bland and tasteless.,negative,-0.8
High quality paneer tikka and very friendly server. Highly recommend this place!,positive,0.8
Good carbonara but the seating was a bit cramped.,positive,0.8
The noise level was way too high and the garlic naan was mediocre.,negative,-0.8
Outstanding dinner tonight. The seafood linguine was cooked to perfection and our waiter was very attentive.,neutral,0.27
"Decent meal overall, the butter chicken was fine but nothing extraordinary.",neutral,0.0
The noise level was way too high and the margherita pizza was mediocre.,negative,-0.8
Fantastic service and delightful food. The butter naan exceeded expectations.,positive,0.8
Food was fine. Service was average. Nothing to write home about.,neutral,0.0
Worst experience. Our order was incorrect and the staff was rude.,negative,-0.8
Outstanding food and excellent ambiance. The pizza was superb.,positive,0.8
Good truffle burger but the seating was a bit cramped.,positive,0.8
The burger was cold and the service was extremely slow.,negative,-0.8
Great atmosphere and excellent carbonara. Will definitely be back!,positive,0.8
"The garlic naan was decent, but the service was a bit slow.",negative,-0.8
Worst experience. Our order was incorrect and the waitress was rude.,negative,-0.8
Best pepperoni pizza I've had in a long time! Service was top-notch.,positive,0.8
"Decent meal overall, the calamari was fine but nothing extraordinary.",neutral,0.0
The seafood linguine was cold and the service was extremely slow.,negative,-0.8
Outstanding food and excellent ambiance. The pasta was superb.,positive,0.8
"Decent options for bruschetta, but the wait time was a bit long.",negative,-0.8
Highly disappointed with the calamari. It was way too salty.,negative,-0.8
Outstanding food and excellent ambiance. The truffle burger was superb.,positive,0.8
"The truffle burger was alright, but they were out of several menu items.",neutral,0.0
Not worth the price. Small portions and mediocre calamari quality.,negative,-0.8
Amazing experience. The butter chicken was delicious and the manager made us feel so welcome.,positive,0.8
"The gelato was okay, and the server was polite enough.",neutral,0.0
